"city_name","type","county","pop_2020","pop_2010","area_mi2","county_seat","incorporation_date","google_lat","google_lng"
"Adelanto","City","San Bernardino",38046,31765,52.87,FALSE,"December 22, 1970",34.5827699,-117.409215
"Agoura Hills","City","Los Angeles",20299,20330,7.8,FALSE,"December 8, 1982",34.1533395,-118.7616764
"Alameda","City","Alameda",78280,73812,10.45,FALSE,"April 19, 1854",37.7798721,-122.2821855
"Albany","City","Alameda",20271,18539,1.79,FALSE,"September 22, 1908",37.886704,-122.2977557
"Alhambra","City","Los Angeles",82868,83089,7.63,FALSE,"July 11, 1903",34.0927549,-118.1268211
"Aliso Viejo","City","Orange",52176,47823,6.93,FALSE,"July 1, 2001",33.5684605,-117.7262981
"Alturas","City","Modoc",2715,2827,2.84,TRUE,"September 16, 1901",41.4871146,-120.5424555
"Amador City","City","Amador",200,185,0.31,FALSE,"June 2, 1915",38.4193553,-120.824103
"American Canyon","City","Napa",21837,19454,6.09,FALSE,"January 1, 1992",38.1749178,-122.2608044
"Anaheim","City","Orange",346824,336265,50.27,FALSE,"March 18, 1876",33.8365932,-117.9143012
"Anderson","City","Shasta",11323,9932,7.03,FALSE,"January 16, 1956",40.448208,-122.2977815
"Angels Camp","City","Calaveras",3667,3836,3.63,FALSE,"January 16, 1912",38.0683329,-120.5391513
"Antioch","City","Contra Costa",115291,102372,29.17,FALSE,"February 6, 1872",38.0049214,-121.805789
"Apple Valley","Town","San Bernardino",75791,69135,77.01,FALSE,"November 28, 1988",34.5008311,-117.1858759
"Arcadia","City","Los Angeles",56681,56364,10.93,FALSE,"August 5, 1903",34.1397292,-118.0353449
"Arcata","City","Humboldt",18857,17231,9.42,FALSE,"February 2, 1858",40.8665166,-124.0828396
"Arroyo Grande","City","San Luis Obispo",18441,17252,5.94,FALSE,"July 10, 1911",35.1185868,-120.5907252
"Artesia","City","Los Angeles",16395,16522,1.62,FALSE,"May 29, 1959",33.8658484,-118.0831212
"Arvin","City","Kern",19495,19304,4.82,FALSE,"December 21, 1960",35.2017986,-118.833105
"Atascadero","City","San Luis Obispo",29773,28310,26.07,FALSE,"July 2, 1979",35.4894169,-120.6707255
"Atherton","Town","San Mateo",7188,6914,5.02,FALSE,"September 12, 1923",37.4613272,-122.197743
"Atwater","City","Merced",31970,28168,6.57,FALSE,"August 16, 1922",37.3477174,-120.609084
"Auburn","City","Placer",13776,13330,7.18,TRUE,"May 2, 1888",38.8965654,-121.0768901
"Avalon","City","Los Angeles",3460,3728,2.89,FALSE,"June 26, 1913",33.3428193,-118.3282279
"Avenal","City","Kings",13696,15505,19.48,FALSE,"September 11, 1979",36.0041223,-120.1290272
"Azusa","City","Los Angeles",50000,46361,9.66,FALSE,"December 29, 1898",34.1336186,-117.9075627
"Bakersfield","City","Kern",403455,347483,149.78,TRUE,"January 11, 1898",35.3735112,-119.0204707
"Baldwin Park","City","Los Angeles",72176,75390,6.63,FALSE,"January 25, 1956",34.0852868,-117.9608978
"Banning","City","Riverside",29505,29603,23.24,FALSE,"February 6, 1913",33.9254488,-116.8767467
"Barstow","City","San Bernardino",25415,22639,41.3,FALSE,"September 30, 1947",34.8957957,-117.0172826
"Beaumont","City","Riverside",53036,36877,30.32,FALSE,"November 18, 1912",33.9294606,-116.977248
"Bell","City","Los Angeles",33559,35477,2.51,FALSE,"November 7, 1927",33.9775142,-118.1870156
"Bell Gardens","City","Los Angeles",39501,42072,2.46,FALSE,"August 1, 1961",33.9652918,-118.1514588
"Bellflower","City","Los Angeles",79190,76616,6.12,FALSE,"September 3, 1957",33.8816818,-118.1170117
"Belmont","City","San Mateo",28335,25835,4.63,FALSE,"October 29, 1926",37.5202145,-122.2758008
"Belvedere","City","Marin",2126,2068,0.52,FALSE,"December 24, 1896",37.8727044,-122.4644171
"Benicia","City","Solano",27131,26997,12.81,FALSE,"March 27, 1850",38.049365,-122.1585777
"Berkeley","City","Alameda",124321,112580,10.43,FALSE,"April 4, 1878",37.8715226,-122.273042
"Beverly Hills","City","Los Angeles",32701,34109,5.71,FALSE,"January 28, 1914",34.0730715,-118.4016265
"Big Bear Lake","City","San Bernardino",5046,5019,6.24,FALSE,"November 28, 1980",34.2438963,-116.9114215
"Biggs","City","Butte",1964,1707,0.9,FALSE,"June 26, 1903",39.4123876,-121.7127513
"Bishop","City","Inyo",3819,3879,1.86,FALSE,"May 6, 1903",37.3613936,-118.395236
"Blue Lake","City","Humboldt",1208,1253,0.59,FALSE,"April 23, 1910",40.8829072,-123.9839488
"Blythe","City","Riverside",18317,20817,26.58,FALSE,"July 21, 1916",33.6177725,-114.5882607
"Bradbury","City","Los Angeles",921,1048,1.96,FALSE,"July 26, 1957",34.1469511,-117.9708982
"Brawley","City","Imperial",26416,24953,8.12,FALSE,"April 6, 1908",32.9786566,-115.530267
"Brea","City","Orange",47325,39282,12.17,FALSE,"February 23, 1917",33.916475,-117.9002918
"Brentwood","City","Contra Costa",64292,51481,14.87,FALSE,"January 21, 1948",37.931868,-121.6957863
"Brisbane","City","San Mateo",4851,4282,2.99,FALSE,"November 27, 1961",37.6847648,-122.4023808
"Buellton","City","Santa Barbara",5161,4828,1.58,FALSE,"February 1, 1992",34.613597,-120.1926505
"Buena Park","City","Orange",84034,80530,10.53,FALSE,"January 27, 1953",33.8674044,-117.9981387
"Burbank","City","Los Angeles",107337,103340,17.32,FALSE,"July 8, 1911",34.1820605,-118.3074827
"Burlingame","City","San Mateo",31386,28806,4.39,FALSE,"June 6, 1908",37.5778696,-122.34809
"Calabasas","City","Los Angeles",23241,23058,13.71,FALSE,"April 5, 1991",34.1539731,-118.6473801
"Calexico","City","Imperial",38633,38572,8.62,FALSE,"April 16, 1908",32.6789476,-115.4988834
"California City","City","Kern",14973,14120,203.61,FALSE,"December 10, 1965",35.125801,-117.9859038
"Calimesa","City","Riverside",10026,7879,14.86,FALSE,"December 1, 1990",34.0039039,-117.0619755
"Calipatria","City","Imperial",6515,7705,3.7,FALSE,"February 28, 1919",33.1255957,-115.5141538
"Calistoga","City","Napa",5228,5155,2.58,FALSE,"January 6, 1886",38.5787965,-122.5797054
"Camarillo","City","Ventura",70741,65201,19.69,FALSE,"March 28, 1964",34.2163937,-119.0376023
"Campbell","City","Santa Clara",43959,39349,6.08,FALSE,"March 28, 1952",37.2871651,-121.9499568
"Canyon Lake","City","Riverside",11082,10561,3.92,FALSE,"December 1, 1990",33.6850215,-117.2730931
"Capitola","City","Santa Cruz",9938,9918,1.59,FALSE,"January 11, 1949",36.9752283,-121.953293
"Carlsbad","City","San Diego",114746,105328,37.77,FALSE,"July 16, 1952",33.1640648,-117.3410819
"Carmel-by-the-Sea","City","Monterey",3220,3722,1.06,FALSE,"October 31, 1916",36.5552386,-121.9232879
"Carpinteria","City","Santa Barbara",13264,13040,2.59,FALSE,"September 28, 1965",34.3988838,-119.5184564
"Carson","City","Los Angeles",95558,91714,18.73,FALSE,"February 20, 1968",33.8316745,-118.281693
"Cathedral City","City","Riverside",51493,51200,22.49,FALSE,"November 16, 1981",33.7805388,-116.4668036
"Ceres","City","Stanislaus",49302,45417,9.5,FALSE,"February 25, 1918",37.5947202,-120.9568815
"Cerritos","City","Los Angeles",49578,49041,8.73,FALSE,"April 24, 1956",33.8659295,-118.0638802
"Chico","City","Butte",101475,86187,34.14,FALSE,"January 8, 1872",39.7282839,-121.8379978
"Chino","City","San Bernardino",91403,77983,29.61,FALSE,"February 28, 1910",34.0136813,-117.6905621
"Chino Hills","City","San Bernardino",78411,74799,44.65,FALSE,"December 1, 1991",33.9898188,-117.7325848
"Chowchilla","City","Madera",19039,18720,11.09,FALSE,"February 7, 1923",37.1229997,-120.2601754
"Chula Vista","City","San Diego",275487,243916,49.64,FALSE,"November 28, 1911",32.6400541,-117.0841955
"Citrus Heights","City","Sacramento",87583,83301,14.22,FALSE,"January 1, 1997",38.6782547,-121.292459
"City of Industry","City","Los Angeles",264,219,11.78,FALSE,"June 18, 1957",34.0197335,-117.9586754
"Claremont","City","Los Angeles",37266,34926,13.34,FALSE,"October 3, 1907",34.0966764,-117.7197785
"Clayton","City","Contra Costa",11070,10897,3.84,FALSE,"March 18, 1964",37.9410341,-121.9357925
"Clearlake","City","Lake",16685,15250,10.13,FALSE,"November 14, 1980",38.961809,-122.6312972
"Cloverdale","City","Sonoma",8996,8618,3.14,FALSE,"February 28, 1872",38.8054624,-123.0172227
"Clovis","City","Fresno",120124,95631,25.42,FALSE,"February 27, 1912",36.8252277,-119.7029194
"Coachella","City","Riverside",41941,40704,30.08,FALSE,"December 13, 1946",33.6803003,-116.173894
"Coalinga","City","Fresno",17590,13380,6.85,FALSE,"April 3, 1906",36.1397611,-120.3603062
"Colfax","City","Placer",1995,1963,1.41,FALSE,"February 23, 1910",39.1007298,-120.9532759
"Colma","Town","San Mateo",1507,1792,1.89,FALSE,"August 5, 1924",37.6749036,-122.4561533
