city_name,address,lat,lng
Adelanto,"Adelanto, CA, USA",34.582769899999995,-117.409215
Agoura Hills,"Agoura Hills, CA 91301, USA",34.1533395,-118.7616764
Alameda,"Alameda, CA, USA",37.7798721,-122.28218550000001
Albany,"Albany, CA, USA",37.886704,-122.29775569999998
Alhambra,"Alhambra, CA, USA",34.092754899999996,-118.1268211
Aliso Viejo,"Aliso Viejo, CA, USA",33.5684605,-117.7262981
Alturas,"Alturas, CA 96101, USA",41.4871146,-120.54245549999999
Amador City,"Amador City, CA, USA",38.4193553,-120.82410300000001
American Canyon,"American Canyon, CA, USA",38.174917799999996,-122.2608044
Anaheim,"Anaheim, CA, USA",33.836593199999996,-117.9143012
Anderson,"Anderson, CA 96007, USA",40.448208,-122.2977815
Angels Camp,"Angels Camp, CA 95222, USA",38.0683329,-120.5391513
Antioch,"Antioch, CA, USA",38.0049214,-121.80578899999999
Apple Valley,"Apple Valley, CA, USA",34.5008311,-117.1858759
Arcadia,"Arcadia, CA, USA",34.1397292,-118.0353449
Arcata,"Arcata, CA, USA",40.8665166,-124.08283960000001
Arroyo Grande,"Arroyo Grande, CA 93420, USA",35.118586799999996,-120.5907252
Artesia,"Artesia, CA 90701, USA",33.8658484,-118.08312120000001
Arvin,"Arvin, CA 93203, USA",35.2017986,-118.833105
Atascadero,"Atascadero, CA 93422, USA",35.4894169,-120.67072549999997
Atherton,"Atherton, CA, USA",37.4613272,-122.19774299999999
Atwater,"Atwater, CA 95301, USA",37.3477174,-120.609084
Auburn,"Auburn, CA, USA",38.8965654,-121.07689009999999
Avalon,"Avalon, CA 90704, USA",33.342819299999995,-118.32822790000002
Avenal,"Avenal, CA, USA",36.0041223,-120.1290272
Azusa,"Azusa, CA, USA",34.1336186,-117.90756270000001
Bakersfield,"Bakersfield, CA, USA",35.373511199999996,-119.02047069999999
Baldwin Park,"Baldwin Park, CA, USA",34.0852868,-117.96089780000001
Banning,"Banning, CA, USA",33.9254488,-116.8767467
Barstow,"Barstow, CA, USA",34.8957957,-117.0172826
Beaumont,"Beaumont, CA, USA",33.9294606,-116.97724799999999
Bell,"Bell, CA, USA",33.9775142,-118.1870156
